accession,amine,core,leaving_group,parent,score
A0A069S9I0,glyglycine,Mono,glycine,GLCA,0.1741313487291336
A0A069S9I0,glyglycine,Mono,taurine,TLCA,0.18398785591125488
A0A069S9I0,glyglycine,Di,glycine,GDCA,0.16111257672309875
A0A069S9I0,glyglycine,Di,taurine,TDCA,0.08736792206764221
A0A069S9I0,glyglycine,Tri,glycine,GCA,0.1308538317680359
A0A069S9I0,glyglycine,Tri,taurine,TCA,0.06982915103435516
A0A069S9I0,alanine,Mono,glycine,GLCA,0.21259555220603943
A0A069S9I0,alanine,Mono,taurine,TLCA,0.2796732485294342
A0A069S9I0,alanine,Di,glycine,GDCA,0.23108644783496857
A0A069S9I0,alanine,Di,taurine,TDCA,0.14431460201740265
A0A069S9I0,alanine,Tri,glycine,GCA,0.21460294723510742
A0A069S9I0,alanine,Tri,taurine,TCA,0.185682475566864
A0A069S9I0,arginine,Mono,glycine,GLCA,0.13596400618553162
A0A069S9I0,arginine,Mono,taurine,TLCA,0.3300096392631531
A0A069S9I0,arginine,Di,glycine,GDCA,0.20824182033538818
A0A069S9I0,arginine,Di,taurine,TDCA,0.22527289390563965
A0A069S9I0,arginine,Tri,glycine,GCA,0.2739918828010559
A0A069S9I0,arginine,Tri,taurine,TCA,0.22669054567813873
A0A069S9I0,citrulline,Mono,glycine,GLCA,0.28809094429016113
A0A069S9I0,citrulline,Mono,taurine,TLCA,0.4655882716178894
A0A069S9I0,citrulline,Di,glycine,GDCA,0.3281242847442627
A0A069S9I0,citrulline,Di,taurine,TDCA,0.3650952875614166
A0A069S9I0,citrulline,Tri,glycine,GCA,0.33969834446907043
A0A069S9I0,citrulline,Tri,taurine,TCA,0.33992984890937805
A0A069S9I0,glutamine,Mono,glycine,GLCA,0.2452087104320526
A0A069S9I0,glutamine,Mono,taurine,TLCA,0.4468378722667694
A0A069S9I0,glutamine,Di,glycine,GDCA,0.37458091974258423
A0A069S9I0,glutamine,Di,taurine,TDCA,0.4287235736846924
A0A069S9I0,glutamine,Tri,glycine,GCA,0.3152710497379303
A0A069S9I0,glutamine,Tri,taurine,TCA,0.34345000982284546
A0A069S9I0,histidine,Mono,glycine,GLCA,0.2765386402606964
A0A069S9I0,histidine,Mono,taurine,TLCA,0.4906160235404968
A0A069S9I0,histidine,Di,glycine,GDCA,0.31151339411735535
A0A069S9I0,histidine,Di,taurine,TDCA,0.40661004185676575
A0A069S9I0,histidine,Tri,glycine,GCA,0.3323533236980438
A0A069S9I0,histidine,Tri,taurine,TCA,0.4236378073692322
A0A069S9I0,lysine,Mono,glycine,GLCA,0.2086067944765091
A0A069S9I0,lysine,Mono,taurine,TLCA,0.23057302832603455
A0A069S9I0,lysine,Di,glycine,GDCA,0.2650810182094574
A0A069S9I0,lysine,Di,taurine,TDCA,0.22568285465240479
A0A069S9I0,lysine,Tri,glycine,GCA,0.2860795855522156
A0A069S9I0,lysine,Tri,taurine,TCA,0.22584527730941772
A0A069S9I0,methionine,Mono,glycine,GLCA,0.1776023805141449
A0A069S9I0,methionine,Mono,taurine,TLCA,0.2555900514125824
A0A069S9I0,methionine,Di,glycine,GDCA,0.18360279500484467
A0A069S9I0,methionine,Di,taurine,TDCA,0.1578330099582672
A0A069S9I0,methionine,Tri,glycine,GCA,0.1998092532157898
A0A069S9I0,methionine,Tri,taurine,TCA,0.212809219956398
A0A069S9I0,ornithine,Mono,glycine,GLCA,0.19776582717895508
A0A069S9I0,ornithine,Mono,taurine,TLCA,0.22401978075504303
A0A069S9I0,ornithine,Di,glycine,GDCA,0.2526951730251312
A0A069S9I0,ornithine,Di,taurine,TDCA,0.21757349371910095
A0A069S9I0,ornithine,Tri,glycine,GCA,0.3085457682609558
A0A069S9I0,ornithine,Tri,taurine,TCA,0.24385201930999756
A0A069S9I0,phenylalanine,Mono,glycine,GLCA,0.2965370714664459
A0A069S9I0,phenylalanine,Mono,taurine,TLCA,0.48692166805267334
A0A069S9I0,phenylalanine,Di,glycine,GDCA,0.36851948499679565
A0A069S9I0,phenylalanine,Di,taurine,TDCA,0.44375884532928467
A0A069S9I0,phenylalanine,Tri,glycine,GCA,0.3439970016479492
A0A069S9I0,phenylalanine,Tri,taurine,TCA,0.38899892568588257
A0A069S9I0,serine,Mono,glycine,GLCA,0.2913270592689514
A0A069S9I0,serine,Mono,taurine,TLCA,0.4268478751182556
A0A069S9I0,serine,Di,glycine,GDCA,0.3487701416015625
A0A069S9I0,serine,Di,taurine,TDCA,0.4212866723537445
A0A069S9I0,serine,Tri,glycine,GCA,0.36364972591400146
A0A069S9I0,serine,Tri,taurine,TCA,0.3480125069618225
A0A069S9I0,threonine,Mono,glycine,GLCA,0.29300329089164734
A0A069S9I0,threonine,Mono,taurine,TLCA,0.48754429817199707
A0A069S9I0,threonine,Di,glycine,GDCA,0.4071403741836548
A0A069S9I0,threonine,Di,taurine,TDCA,0.4403318762779236
A0A069S9I0,threonine,Tri,glycine,GCA,0.34503501653671265
A0A069S9I0,threonine,Tri,taurine,TCA,0.37661200761795044
A0A069S9I0,tryptamine,Mono,glycine,GLCA,0.19005833566188812
A0A069S9I0,tryptamine,Mono,taurine,TLCA,0.2259080559015274
A0A069S9I0,tryptamine,Di,glycine,GDCA,0.254497230052948
A0A069S9I0,tryptamine,Di,taurine,TDCA,0.23000793159008026
A0A069S9I0,tryptamine,Tri,glycine,GCA,0.27155303955078125
A0A069S9I0,tryptamine,Tri,taurine,TCA,0.20744484663009644
A0A069S9I0,cadaverine,Mono,glycine,GLCA,0.23192694783210754
A0A069S9I0,cadaverine,Mono,taurine,TLCA,0.21230162680149078
A0A069S9I0,cadaverine,Di,glycine,GDCA,0.2600436210632324
A0A069S9I0,cadaverine,Di,taurine,TDCA,0.20003318786621094
A0A069S9I0,cadaverine,Tri,glycine,GCA,0.27031219005584717
A0A069S9I0,cadaverine,Tri,taurine,TCA,0.20704615116119385
A0A069S9I0,putrescine,Mono,glycine,GLCA,0.2504451274871826
A0A069S9I0,putrescine,Mono,taurine,TLCA,0.28215354681015015
A0A069S9I0,putrescine,Di,glycine,GDCA,0.27455711364746094
A0A069S9I0,putrescine,Di,taurine,TDCA,0.22897735238075256
A0A069S9I0,putrescine,Tri,glycine,GCA,0.24574150145053864
A0A069S9I0,putrescine,Tri,taurine,TCA,0.2063969075679779
A0A069S9I0,2_aminophenol,Mono,glycine,GLCA,0.26721712946891785
A0A069S9I0,2_aminophenol,Mono,taurine,TLCA,0.3746187686920166
A0A069S9I0,2_aminophenol,Di,glycine,GDCA,0.38284721970558167
A0A069S9I0,2_aminophenol,Di,taurine,TDCA,0.39661431312561035
A0A069S9I0,2_aminophenol,Tri,glycine,GCA,0.3328300416469574
A0A069S9I0,2_aminophenol,Tri,taurine,TCA,0.3236725926399231
A0A069S9I0,serotonin,Mono,glycine,GLCA,0.18976202607154846
A0A069S9I0,serotonin,Mono,taurine,TLCA,0.30482831597328186
A0A069S9I0,serotonin,Di,glycine,GDCA,0.29459258913993835
A0A069S9I0,serotonin,Di,taurine,TDCA,0.26562026143074036
A0A069S9I0,serotonin,Tri,glycine,GCA,0.32683587074279785
A0A069S9I0,serotonin,Tri,taurine,TCA,0.2747020721435547
A0A069S9I0,tyramine,Mono,glycine,GLCA,0.236165389418602
A0A069S9I0,tyramine,Mono,taurine,TLCA,0.2669733166694641
A0A069S9I0,tyramine,Di,glycine,GDCA,0.3089808523654938
A0A069S9I0,tyramine,Di,taurine,TDCA,0.24433577060699463
A0A069S9I0,tyramine,Tri,glycine,GCA,0.2824820280075073
A0A069S9I0,tyramine,Tri,taurine,TCA,0.2358856201171875
A0A069S9I0,cystine,Mono,glycine,GLCA,0.16989094018936157
A0A069S9I0,cystine,Mono,taurine,TLCA,0.3207051157951355
A0A069S9I0,cystine,Di,glycine,GDCA,0.22018368542194366
A0A069S9I0,cystine,Di,taurine,TDCA,0.1415521800518036
A0A069S9I0,cystine,Tri,glycine,GCA,0.24230286478996277
A0A069S9I0,cystine,Tri,taurine,TCA,0.1691954880952835
A0A078S2R5,"2,3_diaminopropionic acid",Mono,glycine,GLCA,0.24326378107070923
A0A078S2R5,"2,3_diaminopropionic acid",Mono,taurine,TLCA,0.37635576725006104
A0A078S2R5,"2,3_diaminopropionic acid",Di,glycine,GDCA,0.3525920808315277
A0A078S2R5,"2,3_diaminopropionic acid",Di,taurine,TDCA,0.32195764780044556
A0A078S2R5,"2,3_diaminopropionic acid",Tri,glycine,GCA,0.3414335250854492
A0A078S2R5,"2,3_diaminopropionic acid",Tri,taurine,TCA,0.3038010895252228
A0A078S2R5,3_methoxytyramine,Mono,glycine,GLCA,0.05995490401983261
A0A078S2R5,3_methoxytyramine,Mono,taurine,TLCA,0.1033884584903717
A0A078S2R5,3_methoxytyramine,Di,glycine,GDCA,0.12633302807807922
A0A078S2R5,3_methoxytyramine,Di,taurine,TDCA,0.013636857271194458
A0A078S2R5,3_methoxytyramine,Tri,glycine,GCA,0.0698663592338562
A0A078S2R5,3_methoxytyramine,Tri,taurine,TCA,0.02747327834367752
A0A078S2R5,asparagine,Mono,glycine,GLCA,0.2526032328605652
A0A078S2R5,asparagine,Mono,taurine,TLCA,0.48294126987457275
A0A078S2R5,asparagine,Di,glycine,GDCA,0.28567177057266235
A0A078S2R5,asparagine,Di,taurine,TDCA,0.3662763833999634
A0A078S2R5,asparagine,Tri,glycine,GCA,0.2905104160308838
A0A078S2R5,asparagine,Tri,taurine,TCA,0.3389020562171936
A0A078S2R5,proline,Mono,glycine,GLCA,0.31132081151008606
A0A078S2R5,proline,Mono,taurine,TLCA,0.4506731629371643
A0A078S2R5,proline,Di,glycine,GDCA,0.24170133471488953
A0A078S2R5,proline,Di,taurine,TDCA,0.20284169912338257
A0A078S2R5,proline,Tri,glycine,GCA,0.24131262302398682
A0A078S2R5,proline,Tri,taurine,TCA,0.1768290400505066
A0A078S2R5,dopamine,Mono,glycine,GLCA,0.15452605485916138
A0A078S2R5,dopamine,Mono,taurine,TLCA,0.26797205209732056
A0A078S2R5,dopamine,Di,glycine,GDCA,0.20327919721603394
A0A078S2R5,dopamine,Di,taurine,TDCA,0.1663261353969574
A0A078S2R5,dopamine,Tri,glycine,GCA,0.19572654366493225
A0A078S2R5,dopamine,Tri,taurine,TCA,0.15199220180511475
A0A078S2R5,gaba,Mono,glycine,GLCA,0.20194125175476074
A0A078S2R5,gaba,Mono,taurine,TLCA,0.2756071984767914
A0A078S2R5,gaba,Di,glycine,GDCA,0.21855968236923218
A0A078S2R5,gaba,Di,taurine,TDCA,0.16981816291809082
A0A078S2R5,gaba,Tri,glycine,GCA,0.2361127734184265
A0A078S2R5,gaba,Tri,taurine,TCA,0.17749294638633728
A0A078S2R5,glyglycine,Mono,glycine,GLCA,0.19509321451187134
A0A078S2R5,glyglycine,Mono,taurine,TLCA,0.19319596886634827
A0A078S2R5,glyglycine,Di,glycine,GDCA,0.1723116636276245
A0A078S2R5,glyglycine,Di,taurine,TDCA,0.09191478788852692
A0A078S2R5,glyglycine,Tri,glycine,GCA,0.0987316220998764
A0A078S2R5,glyglycine,Tri,taurine,TCA,0.048365719616413116
A0A078S2R5,alanine,Mono,glycine,GLCA,0.2397342324256897
A0A078S2R5,alanine,Mono,taurine,TLCA,0.3161824345588684
A0A078S2R5,alanine,Di,glycine,GDCA,0.23176255822181702
A0A078S2R5,alanine,Di,taurine,TDCA,0.1479613184928894
A0A078S2R5,alanine,Tri,glycine,GCA,0.2047216147184372
A0A078S2R5,alanine,Tri,taurine,TCA,0.18939901888370514
A0A078S2R5,arginine,Mono,glycine,GLCA,0.15484406054019928
A0A078S2R5,arginine,Mono,taurine,TLCA,0.3500056862831116
A0A078S2R5,arginine,Di,glycine,GDCA,0.1949293464422226
A0A078S2R5,arginine,Di,taurine,TDCA,0.2263561636209488
A0A078S2R5,arginine,Tri,glycine,GCA,0.258987158536911
A0A078S2R5,arginine,Tri,taurine,TCA,0.22818179428577423
A0A078S2R5,citrulline,Mono,glycine,GLCA,0.2998262345790863
A0A078S2R5,citrulline,Mono,taurine,TLCA,0.4772389829158783
A0A078S2R5,citrulline,Di,glycine,GDCA,0.2966054081916809
A0A078S2R5,citrulline,Di,taurine,TDCA,0.33865129947662354
A0A078S2R5,citrulline,Tri,glycine,GCA,0.30052271485328674
A0A078S2R5,citrulline,Tri,taurine,TCA,0.30903929471969604
A0A078S2R5,glutamine,Mono,glycine,GLCA,0.2763548195362091
A0A078S2R5,glutamine,Mono,taurine,TLCA,0.4933009445667267
A0A078S2R5,glutamine,Di,glycine,GDCA,0.36867931485176086
A0A078S2R5,glutamine,Di,taurine,TDCA,0.42359641194343567
A0A078S2R5,glutamine,Tri,glycine,GCA,0.3003755211830139
A0A078S2R5,glutamine,Tri,taurine,TCA,0.3469386696815491
A0A078S2R5,histidine,Mono,glycine,GLCA,0.2937065362930298
A0A078S2R5,histidine,Mono,taurine,TLCA,0.542474627494812
A0A078S2R5,histidine,Di,glycine,GDCA,0.3138468861579895
A0A078S2R5,histidine,Di,taurine,TDCA,0.4106382727622986
A0A078S2R5,histidine,Tri,glycine,GCA,0.3112320601940155
A0A078S2R5,histidine,Tri,taurine,TCA,0.42377033829689026
A0A078S2R5,lysine,Mono,glycine,GLCA,0.2215968519449234
A0A078S2R5,lysine,Mono,taurine,TLCA,0.2546197772026062
A0A078S2R5,lysine,Di,glycine,GDCA,0.2548952102661133
A0A078S2R5,lysine,Di,taurine,TDCA,0.2257882058620453
A0A078S2R5,lysine,Tri,glycine,GCA,0.26344284415245056
A0A078S2R5,lysine,Tri,taurine,TCA,0.22545623779296875
A0A078S2R5,methionine,Mono,glycine,GLCA,0.2042401283979416
A0A078S2R5,methionine,Mono,taurine,TLCA,0.2882480323314667
A0A078S2R5,methionine,Di,glycine,GDCA,0.16672039031982422
A0A078S2R5,methionine,Di,taurine,TDCA,0.14712052047252655
A0A078S2R5,methionine,Tri,glycine,GCA,0.16927960515022278
A0A078S2R5,methionine,Tri,taurine,TCA,0.1915692389011383
A0A078S2R5,ornithine,Mono,glycine,GLCA,0.21049360930919647
A0A078S2R5,ornithine,Mono,taurine,TLCA,0.24598899483680725
A0A078S2R5,ornithine,Di,glycine,GDCA,0.23805062472820282
A0A078S2R5,ornithine,Di,taurine,TDCA,0.20746532082557678
A0A078S2R5,ornithine,Tri,glycine,GCA,0.2866430878639221
A0A078S2R5,ornithine,Tri,taurine,TCA,0.233729749917984
A0A078S2R5,phenylalanine,Mono,glycine,GLCA,0.3304193615913391
A0A078S2R5,phenylalanine,Mono,taurine,TLCA,0.5333130359649658
A0A078S2R5,phenylalanine,Di,glycine,GDCA,0.37321022152900696
A0A078S2R5,phenylalanine,Di,taurine,TDCA,0.45340195298194885
A0A078S2R5,phenylalanine,Tri,glycine,GCA,0.33453503251075745
A0A078S2R5,phenylalanine,Tri,taurine,TCA,0.3947093188762665
A0A078S2R5,serine,Mono,glycine,GLCA,0.3311954736709595
A0A078S2R5,serine,Mono,taurine,TLCA,0.4829699993133545
A0A078S2R5,serine,Di,glycine,GDCA,0.3388431966304779
A0A078S2R5,serine,Di,taurine,TDCA,0.4218319356441498
A0A078S2R5,serine,Tri,glycine,GCA,0.3419342041015625
A0A078S2R5,serine,Tri,taurine,TCA,0.34840482473373413
A0A078S2R5,threonine,Mono,glycine,GLCA,0.3056938052177429
A0A078S2R5,threonine,Mono,taurine,TLCA,0.49091866612434387
A0A078S2R5,threonine,Di,glycine,GDCA,0.37695053219795227
A0A078S2R5,threonine,Di,taurine,TDCA,0.4212624728679657
A0A078S2R5,threonine,Tri,glycine,GCA,0.3047284781932831
A0A078S2R5,threonine,Tri,taurine,TCA,0.34484410285949707
A0A078S2R5,tryptamine,Mono,glycine,GLCA,0.16599488258361816
A0A078S2R5,tryptamine,Mono,taurine,TLCA,0.18600910902023315
A0A078S2R5,tryptamine,Di,glycine,GDCA,0.20034417510032654
A0A078S2R5,tryptamine,Di,taurine,TDCA,0.18573297560214996
A0A078S2R5,tryptamine,Tri,glycine,GCA,0.20183001458644867
A0A078S2R5,tryptamine,Tri,taurine,TCA,0.15801259875297546
A0A078S2R5,cadaverine,Mono,glycine,GLCA,0.2427484691143036
A0A078S2R5,cadaverine,Mono,taurine,TLCA,0.26103508472442627
A0A078S2R5,cadaverine,Di,glycine,GDCA,0.2549327611923218
A0A078S2R5,cadaverine,Di,taurine,TDCA,0.20394280552864075
A0A078S2R5,cadaverine,Tri,glycine,GCA,0.25803786516189575
A0A078S2R5,cadaverine,Tri,taurine,TCA,0.20570486783981323
A0A078S2R5,putrescine,Mono,glycine,GLCA,0.24863684177398682
A0A078S2R5,putrescine,Mono,taurine,TLCA,0.3247418701648712
A0A078S2R5,putrescine,Di,glycine,GDCA,0.25981229543685913
A0A078S2R5,putrescine,Di,taurine,TDCA,0.21615242958068848
A0A078S2R5,putrescine,Tri,glycine,GCA,0.22589340806007385
A0A078S2R5,putrescine,Tri,taurine,TCA,0.1974658966064453
A0A078S2R5,2_aminophenol,Mono,glycine,GLCA,0.27575090527534485
A0A078S2R5,2_aminophenol,Mono,taurine,TLCA,0.3926696181297302
A0A078S2R5,2_aminophenol,Di,glycine,GDCA,0.352544367313385
A0A078S2R5,2_aminophenol,Di,taurine,TDCA,0.3764899969100952
A0A078S2R5,2_aminophenol,Tri,glycine,GCA,0.3048408031463623
A0A078S2R5,2_aminophenol,Tri,taurine,TCA,0.3082427382469177
A0A078S2R5,serotonin,Mono,glycine,GLCA,0.15839125216007233
A0A078S2R5,serotonin,Mono,taurine,TLCA,0.2694586217403412
A0A078S2R5,serotonin,Di,glycine,GDCA,0.24415093660354614
A0A078S2R5,serotonin,Di,taurine,TDCA,0.22382675111293793
A0A078S2R5,serotonin,Tri,glycine,GCA,0.2688298225402832
A0A078S2R5,serotonin,Tri,taurine,TCA,0.23463410139083862
A0A078S2R5,tyramine,Mono,glycine,GLCA,0.20699527859687805
A0A078S2R5,tyramine,Mono,taurine,TLCA,0.24872811138629913
A0A078S2R5,tyramine,Di,glycine,GDCA,0.2512547969818115
A0A078S2R5,tyramine,Di,taurine,TDCA,0.18990276753902435
A0A078S2R5,tyramine,Tri,glycine,GCA,0.22561383247375488
A0A078S2R5,tyramine,Tri,taurine,TCA,0.19897779822349548
A0A078S2R5,cystine,Mono,glycine,GLCA,0.18385687470436096
A0A078S2R5,cystine,Mono,taurine,TLCA,0.34487593173980713
A0A078S2R5,cystine,Di,glycine,GDCA,0.20280340313911438
A0A078S2R5,cystine,Di,taurine,TDCA,0.12376940250396729
A0A078S2R5,cystine,Tri,glycine,GCA,0.2181103229522705
A0A078S2R5,cystine,Tri,taurine,TCA,0.1593192219734192
A0A096B1U0,"2,3_diaminopropionic acid",Mono,glycine,GLCA,0.21002350747585297
A0A096B1U0,"2,3_diaminopropionic acid",Mono,taurine,TLCA,0.35302191972732544
A0A096B1U0,"2,3_diaminopropionic acid",Di,glycine,GDCA,0.2241746038198471
A0A096B1U0,"2,3_diaminopropionic acid",Di,taurine,TDCA,0.2807004153728485
A0A096B1U0,"2,3_diaminopropionic acid",Tri,glycine,GCA,0.22820967435836792
A0A096B1U0,"2,3_diaminopropionic acid",Tri,taurine,TCA,0.2139706015586853
A0A096B1U0,3_methoxytyramine,Mono,glycine,GLCA,0.05283103883266449
A0A096B1U0,3_methoxytyramine,Mono,taurine,TLCA,0.09280407428741455
A0A096B1U0,3_methoxytyramine,Di,glycine,GDCA,0.15114691853523254
A0A096B1U0,3_methoxytyramine,Di,taurine,TDCA,0.0841555967926979
A0A096B1U0,3_methoxytyramine,Tri,glycine,GCA,0.07714797556400299
A0A096B1U0,3_methoxytyramine,Tri,taurine,TCA,0.053529080003499985
A0A096B1U0,asparagine,Mono,glycine,GLCA,0.16028113663196564
A0A096B1U0,asparagine,Mono,taurine,TLCA,0.3602706491947174
A0A096B1U0,asparagine,Di,glycine,GDCA,0.14876222610473633
A0A096B1U0,asparagine,Di,taurine,TDCA,0.23294797539710999
A0A096B1U0,asparagine,Tri,glycine,GCA,0.1611122041940689
A0A096B1U0,asparagine,Tri,taurine,TCA,0.20982912182807922
A0A096B1U0,proline,Mono,glycine,GLCA,0.22977542877197266
A0A096B1U0,proline,Mono,taurine,TLCA,0.3759692907333374
A0A096B1U0,proline,Di,glycine,GDCA,0.11778818070888519
A0A096B1U0,proline,Di,taurine,TDCA,0.14407271146774292
A0A096B1U0,proline,Tri,glycine,GCA,0.1419631689786911
A0A096B1U0,proline,Tri,taurine,TCA,0.1350831538438797
A0A096B1U0,dopamine,Mono,glycine,GLCA,0.11024481803178787
A0A096B1U0,dopamine,Mono,taurine,TLCA,0.20455922186374664
A0A096B1U0,dopamine,Di,glycine,GDCA,0.14844660460948944
A0A096B1U0,dopamine,Di,taurine,TDCA,0.15478260815143585
A0A096B1U0,dopamine,Tri,glycine,GCA,0.12655743956565857
A0A096B1U0,dopamine,Tri,taurine,TCA,0.0984869971871376
A0A096B1U0,gaba,Mono,glycine,GLCA,0.16572564840316772
A0A096B1U0,gaba,Mono,taurine,TLCA,0.24194225668907166
A0A096B1U0,gaba,Di,glycine,GDCA,0.1275835633277893
A0A096B1U0,gaba,Di,taurine,TDCA,0.12044379115104675
A0A096B1U0,gaba,Tri,glycine,GCA,0.1272212415933609
A0A096B1U0,gaba,Tri,taurine,TCA,0.10177665203809738
A0A096B1U0,glyglycine,Mono,glycine,GLCA,0.16867822408676147
A0A096B1U0,glyglycine,Mono,taurine,TLCA,0.2060641050338745
A0A096B1U0,glyglycine,Di,glycine,GDCA,0.1976681649684906
A0A096B1U0,glyglycine,Di,taurine,TDCA,0.18439242243766785
A0A096B1U0,glyglycine,Tri,glycine,GCA,0.06465359032154083
A0A096B1U0,glyglycine,Tri,taurine,TCA,0.04618930071592331
A0A096B1U0,alanine,Mono,glycine,GLCA,0.1869051307439804
A0A096B1U0,alanine,Mono,taurine,TLCA,0.3026413321495056
A0A096B1U0,alanine,Di,glycine,GDCA,0.17774531245231628
A0A096B1U0,alanine,Di,taurine,TDCA,0.16919274628162384
A0A096B1U0,alanine,Tri,glycine,GCA,0.16336852312088013
A0A096B1U0,alanine,Tri,taurine,TCA,0.1679316610097885
A0A096B1U0,arginine,Mono,glycine,GLCA,0.1855333149433136
A0A096B1U0,arginine,Mono,taurine,TLCA,0.3337570130825043
A0A096B1U0,arginine,Di,glycine,GDCA,0.19130268692970276
A0A096B1U0,arginine,Di,taurine,TDCA,0.2652812600135803
A0A096B1U0,arginine,Tri,glycine,GCA,0.23852330446243286
A0A096B1U0,arginine,Tri,taurine,TCA,0.2410641610622406
A0A096B1U0,citrulline,Mono,glycine,GLCA,0.2259073704481125
A0A096B1U0,citrulline,Mono,taurine,TLCA,0.3998304605484009
A0A096B1U0,citrulline,Di,glycine,GDCA,0.18152251839637756
A0A096B1U0,citrulline,Di,taurine,TDCA,0.24743466079235077
A0A096B1U0,citrulline,Tri,glycine,GCA,0.1920965313911438
A0A096B1U0,citrulline,Tri,taurine,TCA,0.21686168015003204
A0A096B1U0,glutamine,Mono,glycine,GLCA,0.19066894054412842
A0A096B1U0,glutamine,Mono,taurine,TLCA,0.3768875002861023
A0A096B1U0,glutamine,Di,glycine,GDCA,0.20084330439567566
A0A096B1U0,glutamine,Di,taurine,TDCA,0.2845776379108429
A0A096B1U0,glutamine,Tri,glycine,GCA,0.15512223541736603
A0A096B1U0,glutamine,Tri,taurine,TCA,0.23100844025611877
A0A096B1U0,histidine,Mono,glycine,GLCA,0.17671063542366028
A0A096B1U0,histidine,Mono,taurine,TLCA,0.42790716886520386
A0A096B1U0,histidine,Di,glycine,GDCA,0.19155839085578918
A0A096B1U0,histidine,Di,taurine,TDCA,0.29815930128097534
A0A096B1U0,histidine,Tri,glycine,GCA,0.1557372510433197
A0A096B1U0,histidine,Tri,taurine,TCA,0.2629374861717224
A0A096B1U0,lysine,Mono,glycine,GLCA,0.200742706656456
A0A096B1U0,lysine,Mono,taurine,TLCA,0.22312891483306885
A0A096B1U0,lysine,Di,glycine,GDCA,0.16736668348312378
A0A096B1U0,lysine,Di,taurine,TDCA,0.19361227750778198
A0A096B1U0,lysine,Tri,glycine,GCA,0.17018628120422363
A0A096B1U0,lysine,Tri,taurine,TCA,0.17915739119052887
A0A096B1U0,methionine,Mono,glycine,GLCA,0.1602715253829956
A0A096B1U0,methionine,Mono,taurine,TLCA,0.2643735408782959
A0A096B1U0,methionine,Di,glycine,GDCA,0.11321397125720978
A0A096B1U0,methionine,Di,taurine,TDCA,0.15487238764762878
A0A096B1U0,methionine,Tri,glycine,GCA,0.08866870403289795
A0A096B1U0,methionine,Tri,taurine,TCA,0.14356118440628052
A0A096B1U0,ornithine,Mono,glycine,GLCA,0.1575099676847458
A0A096B1U0,ornithine,Mono,taurine,TLCA,0.193955197930336
A0A096B1U0,ornithine,Di,glycine,GDCA,0.15161332488059998
A0A096B1U0,ornithine,Di,taurine,TDCA,0.16787387430667877
A0A096B1U0,ornithine,Tri,glycine,GCA,0.18837253749370575
A0A096B1U0,ornithine,Tri,taurine,TCA,0.1615770012140274
