Enzyme,Amine,Hydroxyl,active,raw,calibrated
A0A096B1U0,proline,Tri,0,0.0152,0.0202
A0A096B1U0,putrescine,Di,0,0.003,0.0101
A0A096B1U0,putrescine,Mono,0,0.0016,0.0023
A0A096B1U0,putrescine,Tri,0,0.0033,0.0101
A0A096B1U0,serine,Di,0,0.1174,0.0915
A0A096B1U0,serine,Mono,0,0.1415,0.0915
A0A096B1U0,serine,Tri,0,0.0915,0.0529
A0A096B1U0,serotonin,Di,0,0.0072,0.0101
A0A096B1U0,serotonin,Mono,0,0.036,0.0409
A0A096B1U0,serotonin,Tri,0,0.0086,0.0101
A0A096B1U0,threonine,Di,0,0.0461,0.0529
A0A096B1U0,threonine,Mono,0,0.0636,0.0529
A0A096B1U0,threonine,Tri,0,0.0082,0.0101
A0A096B1U0,tryptamine,Di,0,0.0044,0.0101
A0A096B1U0,tryptamine,Mono,0,0.0015,0.0023
A0A096B1U0,tryptamine,Tri,0,0.0062,0.0101
A0A096B1U0,tyramine,Di,0,0.0211,0.0301
A0A096B1U0,tyramine,Mono,0,0.081,0.0529
A0A096B1U0,tyramine,Tri,0,0.0269,0.0391
A0A096KTH7,"2,3_diaminopropionic acid",Di,0,0.0301,0.0391
A0A096KTH7,"2,3_diaminopropionic acid",Mono,0,0.0235,0.0391
A0A096KTH7,"2,3_diaminopropionic acid",Tri,1,0.4653,0.3936
A0A096KTH7,2_aminophenol,Di,1,0.8275,0.7
A0A096KTH7,2_aminophenol,Mono,1,0.4346,0.3936
A0A096KTH7,2_aminophenol,Tri,1,0.8712,0.7
A0A096KTH7,3_methoxytyramine,Di,0,0.0834,0.0529
A0A096KTH7,3_methoxytyramine,Mono,0,0.0104,0.0101
A0A096KTH7,3_methoxytyramine,Tri,0,0.0778,0.0529
A0A096KTH7,alanine,Di,1,0.9326,0.8636
A0A096KTH7,alanine,Mono,1,0.9302,0.8636
A0A096KTH7,alanine,Tri,1,0.4539,0.3936
A0A096KTH7,arginine,Di,0,0.0038,0.0101
A0A096KTH7,arginine,Mono,0,0.0026,0.0101
A0A096KTH7,arginine,Tri,0,0.0192,0.0202
A0A096KTH7,asparagine,Di,0,0.0322,0.0409
A0A096KTH7,asparagine,Mono,0,0.036,0.0409
A0A096KTH7,asparagine,Tri,1,0.7433,0.5287
A0A096KTH7,cadaverine,Di,0,0.0047,0.0101
A0A096KTH7,cadaverine,Mono,0,0.0023,0.0101
A0A096KTH7,cadaverine,Tri,0,0.0086,0.0101
A0A096KTH7,citrulline,Di,0,0.0616,0.0529
A0A096KTH7,citrulline,Mono,0,0.0133,0.0137
A0A096KTH7,citrulline,Tri,0,0.02,0.0301
A0A096KTH7,cystine,Di,0,0.0361,0.0409
A0A096KTH7,cystine,Mono,0,0.0225,0.0345
A0A096KTH7,cystine,Tri,0,0.14,0.0915
A0A096KTH7,dopamine,Di,0,0.0822,0.0529
A0A096KTH7,dopamine,Mono,0,0.0377,0.0529
A0A096KTH7,dopamine,Tri,1,0.7081,0.5287
A0A096KTH7,gaba,Di,1,0.9457,0.9023
A0A096KTH7,gaba,Mono,1,0.9443,0.9023
A0A096KTH7,gaba,Tri,1,0.9577,0.9023
A0A096KTH7,glutamine,Di,0,0.1356,0.0915
A0A096KTH7,glutamine,Mono,0,0.4345,0.3936
A0A096KTH7,glutamine,Tri,0,0.0995,0.0915
A0A096KTH7,glyglycine,Di,0,0.0094,0.0101
A0A096KTH7,glyglycine,Mono,0,0.0081,0.0101
A0A096KTH7,glyglycine,Tri,1,0.1343,0.0915
A0A096KTH7,histidine,Di,0,0.0051,0.0101
A0A096KTH7,histidine,Mono,0,0.0038,0.0101
A0A096KTH7,histidine,Tri,0,0.0414,0.0529
A0A096KTH7,lysine,Di,1,0.2413,0.1757
A0A096KTH7,lysine,Mono,0,0.0283,0.0391
A0A096KTH7,lysine,Tri,0,0.0224,0.0345
A0A096KTH7,methionine,Di,0,0.1173,0.0915
A0A096KTH7,methionine,Mono,1,0.138,0.0915
A0A096KTH7,methionine,Tri,1,0.1814,0.1127
A0A096KTH7,ornithine,Di,0,0.0818,0.0529
A0A096KTH7,ornithine,Mono,0,0.0242,0.0391
A0A096KTH7,ornithine,Tri,0,0.0176,0.0202
A0A096KTH7,phenylalanine,Di,1,0.8955,0.8571
A0A096KTH7,phenylalanine,Mono,0,0.3254,0.2692
A0A096KTH7,phenylalanine,Tri,1,0.9421,0.8696
A0A096KTH7,proline,Di,0,0.0039,0.0101
A0A096KTH7,proline,Mono,0,0.0056,0.0101
A0A096KTH7,proline,Tri,0,0.0368,0.0529
A0A096KTH7,putrescine,Di,0,0.0047,0.0101
A0A096KTH7,putrescine,Mono,0,0.0023,0.0101
A0A096KTH7,putrescine,Tri,0,0.0086,0.0101
A0A096KTH7,serine,Di,1,0.3022,0.2692
A0A096KTH7,serine,Mono,1,0.3712,0.2815
A0A096KTH7,serine,Tri,0,0.1454,0.0915
A0A096KTH7,serotonin,Di,0,0.0078,0.0101
A0A096KTH7,serotonin,Mono,0,0.1262,0.0915
A0A096KTH7,serotonin,Tri,0,0.0071,0.0101
A0A096KTH7,threonine,Di,1,0.0959,0.0915
A0A096KTH7,threonine,Mono,0,0.1887,0.1127
A0A096KTH7,threonine,Tri,0,0.0095,0.0101
A0A096KTH7,tryptamine,Di,0,0.0018,0.0023
A0A096KTH7,tryptamine,Mono,0,0.0016,0.0023
A0A096KTH7,tryptamine,Tri,0,0.0071,0.0101
A0A096KTH7,tyramine,Di,0,0.0227,0.0345
A0A096KTH7,tyramine,Mono,0,0.2093,0.1127
A0A096KTH7,tyramine,Tri,0,0.0209,0.0301
A0A0D8IVP2,"2,3_diaminopropionic acid",Di,0,0.1675,0.1127
A0A0D8IVP2,"2,3_diaminopropionic acid",Mono,0,0.0738,0.0529
A0A0D8IVP2,"2,3_diaminopropionic acid",Tri,1,0.8044,0.7
A0A0D8IVP2,2_aminophenol,Di,1,0.9491,0.9023
A0A0D8IVP2,2_aminophenol,Mono,0,0.5212,0.4014
A0A0D8IVP2,2_aminophenol,Tri,1,0.8538,0.7
A0A0D8IVP2,3_methoxytyramine,Di,0,0.0901,0.0529
A0A0D8IVP2,3_methoxytyramine,Mono,0,0.0087,0.0101
A0A0D8IVP2,3_methoxytyramine,Tri,0,0.0943,0.0714
A0A0D8IVP2,alanine,Di,1,0.9909,0.9214
A0A0D8IVP2,alanine,Mono,1,0.9877,0.9214
A0A0D8IVP2,alanine,Tri,1,0.8473,0.7
A0A0D8IVP2,arginine,Di,0,0.0582,0.0529
A0A0D8IVP2,arginine,Mono,0,0.0211,0.0301
A0A0D8IVP2,arginine,Tri,0,0.1277,0.0915
A0A0D8IVP2,asparagine,Di,0,0.1202,0.0915
A0A0D8IVP2,asparagine,Mono,0,0.1147,0.0915
A0A0D8IVP2,asparagine,Tri,1,0.9459,0.9023
A0A0D8IVP2,cadaverine,Di,0,0.0049,0.0101
A0A0D8IVP2,cadaverine,Mono,0,0.0017,0.0023
A0A0D8IVP2,cadaverine,Tri,0,0.0166,0.0202
A0A0D8IVP2,citrulline,Di,0,0.2854,0.2692
A0A0D8IVP2,citrulline,Mono,0,0.0938,0.0714
A0A0D8IVP2,citrulline,Tri,0,0.1037,0.0915
A0A0D8IVP2,cystine,Di,0,0.0564,0.0529
A0A0D8IVP2,cystine,Mono,0,0.0194,0.0202
A0A0D8IVP2,cystine,Tri,0,0.1027,0.0915
A0A0D8IVP2,dopamine,Di,0,0.1737,0.1127
A0A0D8IVP2,dopamine,Mono,0,0.0348,0.0409
A0A0D8IVP2,dopamine,Tri,1,0.8463,0.7
A0A0D8IVP2,gaba,Di,1,0.9928,0.9214
A0A0D8IVP2,gaba,Mono,1,0.9939,0.9214
A0A0D8IVP2,gaba,Tri,1,0.994,0.9214
A0A0D8IVP2,glutamine,Di,0,0.5833,0.4638
A0A0D8IVP2,glutamine,Mono,0,0.9345,0.8636
A0A0D8IVP2,glutamine,Tri,0,0.4383,0.3936
A0A0D8IVP2,glyglycine,Di,0,0.0531,0.0529
A0A0D8IVP2,glyglycine,Mono,0,0.0339,0.0409
A0A0D8IVP2,glyglycine,Tri,0,0.1585,0.1127
A0A0D8IVP2,histidine,Di,0,0.0239,0.0391
A0A0D8IVP2,histidine,Mono,0,0.0161,0.0202
A0A0D8IVP2,histidine,Tri,0,0.0873,0.0529
A0A0D8IVP2,lysine,Di,1,0.4397,0.3936
A0A0D8IVP2,lysine,Mono,0,0.1365,0.0915
A0A0D8IVP2,lysine,Tri,0,0.0951,0.0714
A0A0D8IVP2,methionine,Di,0,0.4836,0.4014
A0A0D8IVP2,methionine,Mono,0,0.4562,0.3936
A0A0D8IVP2,methionine,Tri,1,0.5029,0.4014
A0A0D8IVP2,ornithine,Di,0,0.2812,0.1915
A0A0D8IVP2,ornithine,Mono,0,0.108,0.0915
A0A0D8IVP2,ornithine,Tri,0,0.0643,0.0529
A0A0D8IVP2,phenylalanine,Di,1,0.9816,0.9082
A0A0D8IVP2,phenylalanine,Mono,0,0.5266,0.4014
A0A0D8IVP2,phenylalanine,Tri,1,0.9893,0.9214
A0A0D8IVP2,proline,Di,0,0.0243,0.0391
A0A0D8IVP2,proline,Mono,0,0.0273,0.0391
A0A0D8IVP2,proline,Tri,0,0.0944,0.0714
A0A0D8IVP2,putrescine,Di,0,0.0047,0.0101
A0A0D8IVP2,putrescine,Mono,0,0.0016,0.0023
A0A0D8IVP2,putrescine,Tri,0,0.0154,0.0202
A0A0D8IVP2,serine,Di,1,0.5955,0.4638
A0A0D8IVP2,serine,Mono,1,0.7615,0.5287
A0A0D8IVP2,serine,Tri,0,0.5142,0.4014
A0A0D8IVP2,serotonin,Di,0,0.0301,0.0391
A0A0D8IVP2,serotonin,Mono,0,0.5135,0.4014
A0A0D8IVP2,serotonin,Tri,0,0.0465,0.0529
A0A0D8IVP2,threonine,Di,0,0.6076,0.4638
A0A0D8IVP2,threonine,Mono,0,0.744,0.5287
A0A0D8IVP2,threonine,Tri,0,0.0588,0.0529
A0A0D8IVP2,tryptamine,Di,0,0.0027,0.0101
A0A0D8IVP2,tryptamine,Mono,0,0.0007,0.0023
A0A0D8IVP2,tryptamine,Tri,0,0.0106,0.0101
A0A0D8IVP2,tyramine,Di,0,0.0349,0.0409
A0A0D8IVP2,tyramine,Mono,0,0.4126,0.2815
A0A0D8IVP2,tyramine,Tri,0,0.0667,0.0529
A0A0F0CI09,"2,3_diaminopropionic acid",Di,0,0.0159,0.0202
A0A0F0CI09,"2,3_diaminopropionic acid",Mono,0,0.0051,0.0101
A0A0F0CI09,"2,3_diaminopropionic acid",Tri,0,0.0718,0.0529
A0A0F0CI09,2_aminophenol,Di,1,0.9453,0.9023
A0A0F0CI09,2_aminophenol,Mono,0,0.307,0.2692
A0A0F0CI09,2_aminophenol,Tri,1,0.536,0.4014
A0A0F0CI09,3_methoxytyramine,Di,0,0.0295,0.0391
A0A0F0CI09,3_methoxytyramine,Mono,0,0.0011,0.0023
A0A0F0CI09,3_methoxytyramine,Tri,0,0.0137,0.0137
A0A0F0CI09,alanine,Di,1,0.986,0.9214
A0A0F0CI09,alanine,Mono,1,0.979,0.9082
A0A0F0CI09,alanine,Tri,0,0.1854,0.1127
A0A0F0CI09,arginine,Di,0,0.0021,0.0023
A0A0F0CI09,arginine,Mono,0,0.0015,0.0023
A0A0F0CI09,arginine,Tri,0,0.0015,0.0023
A0A0F0CI09,asparagine,Di,0,0.0461,0.0529
A0A0F0CI09,asparagine,Mono,0,0.0432,0.0529
A0A0F0CI09,asparagine,Tri,1,0.9618,0.9023
A0A0F0CI09,cadaverine,Di,0,0.0013,0.0023
A0A0F0CI09,cadaverine,Mono,0,0.0004,0.0
A0A0F0CI09,cadaverine,Tri,0,0.002,0.0023
A0A0F0CI09,citrulline,Di,0,0.0062,0.0101
A0A0F0CI09,citrulline,Mono,0,0.0019,0.0023
A0A0F0CI09,citrulline,Tri,0,0.001,0.0023
A0A0F0CI09,cystine,Di,0,0.0019,0.0023
A0A0F0CI09,cystine,Mono,0,0.0004,0.0
A0A0F0CI09,cystine,Tri,0,0.0015,0.0023
A0A0F0CI09,dopamine,Di,0,0.1408,0.0915
A0A0F0CI09,dopamine,Mono,0,0.0132,0.0137
A0A0F0CI09,dopamine,Tri,1,0.9471,0.9023
A0A0F0CI09,gaba,Di,1,0.9949,0.9214
A0A0F0CI09,gaba,Mono,1,0.9961,0.925
A0A0F0CI09,gaba,Tri,1,0.9948,0.9214
A0A0F0CI09,glutamine,Di,0,0.0825,0.0529
A0A0F0CI09,glutamine,Mono,1,0.8796,0.75
A0A0F0CI09,glutamine,Tri,0,0.0387,0.0529
A0A0F0CI09,glyglycine,Di,0,0.0047,0.0101
A0A0F0CI09,glyglycine,Mono,0,0.0032,0.0101
A0A0F0CI09,glyglycine,Tri,0,0.0066,0.0101
A0A0F0CI09,histidine,Di,0,0.0004,0.0
A0A0F0CI09,histidine,Mono,0,0.0001,0.0
A0A0F0CI09,histidine,Tri,0,0.0005,0.0
A0A0F0CI09,lysine,Di,0,0.0157,0.0202
A0A0F0CI09,lysine,Mono,0,0.0033,0.0101
A0A0F0CI09,lysine,Tri,0,0.0011,0.0023
A0A0F0CI09,methionine,Di,0,0.0129,0.0137
A0A0F0CI09,methionine,Mono,0,0.017,0.0202
A0A0F0CI09,methionine,Tri,0,0.005,0.0101
A0A0F0CI09,ornithine,Di,0,0.0168,0.0202
A0A0F0CI09,ornithine,Mono,0,0.0082,0.0101
A0A0F0CI09,ornithine,Tri,0,0.002,0.0023
A0A0F0CI09,phenylalanine,Di,1,0.9848,0.9214
A0A0F0CI09,phenylalanine,Mono,0,0.139,0.0915
A0A0F0CI09,phenylalanine,Tri,1,0.9833,0.9214
A0A0F0CI09,proline,Di,0,0.0016,0.0023
A0A0F0CI09,proline,Mono,0,0.0011,0.0023
A0A0F0CI09,proline,Tri,0,0.0086,0.0101
A0A0F0CI09,putrescine,Di,0,0.0014,0.0023
A0A0F0CI09,putrescine,Mono,0,0.0004,0.0
A0A0F0CI09,putrescine,Tri,0,0.0021,0.0023
A0A0F0CI09,serine,Di,0,0.0276,0.0391
A0A0F0CI09,serine,Mono,0,0.0332,0.0409
A0A0F0CI09,serine,Tri,0,0.0273,0.0391
A0A0F0CI09,serotonin,Di,0,0.0018,0.0023
A0A0F0CI09,serotonin,Mono,0,0.0165,0.0202
A0A0F0CI09,serotonin,Tri,0,0.0017,0.0023
A0A0F0CI09,threonine,Di,0,0.0069,0.0101
A0A0F0CI09,threonine,Mono,0,0.0149,0.0202
A0A0F0CI09,threonine,Tri,0,0.0003,0.0
A0A0F0CI09,tryptamine,Di,0,0.0012,0.0023
A0A0F0CI09,tryptamine,Mono,0,0.0002,0.0
A0A0F0CI09,tryptamine,Tri,0,0.0018,0.0023
A0A0F0CI09,tyramine,Di,0,0.0057,0.0101
A0A0F0CI09,tyramine,Mono,0,0.0216,0.0301
A0A0F0CI09,tyramine,Tri,0,0.0089,0.0101
A0A0F5JPH2,"2,3_diaminopropionic acid",Di,1,0.0371,0.0529
A0A0F5JPH2,"2,3_diaminopropionic acid",Mono,0,0.0186,0.0202
A0A0F5JPH2,"2,3_diaminopropionic acid",Tri,1,0.241,0.1757
A0A0F5JPH2,2_aminophenol,Di,1,0.7636,0.5287
A0A0F5JPH2,2_aminophenol,Mono,1,0.244,0.1757
A0A0F5JPH2,2_aminophenol,Tri,1,0.7125,0.5287
A0A0F5JPH2,3_methoxytyramine,Di,1,0.4268,0.3936
A0A0F5JPH2,3_methoxytyramine,Mono,0,0.0216,0.0301
A0A0F5JPH2,3_methoxytyramine,Tri,0,0.1352,0.0915
A0A0F5JPH2,alanine,Di,1,0.7076,0.5287
A0A0F5JPH2,alanine,Mono,1,0.6565,0.5287
A0A0F5JPH2,alanine,Tri,0,0.1224,0.0915
A0A0F5JPH2,arginine,Di,0,0.0015,0.0023
A0A0F5JPH2,arginine,Mono,0,0.0007,0.0023
A0A0F5JPH2,arginine,Tri,0,0.0024,0.0101
A0A0F5JPH2,asparagine,Di,0,0.0184,0.0202
A0A0F5JPH2,asparagine,Mono,0,0.0181,0.0202
A0A0F5JPH2,asparagine,Tri,1,0.5451,0.4014
A0A0F5JPH2,cadaverine,Di,0,0.003,0.0101
A0A0F5JPH2,cadaverine,Mono,0,0.001,0.0023
A0A0F5JPH2,cadaverine,Tri,0,0.0032,0.0101
A0A0F5JPH2,citrulline,Di,0,0.0059,0.0101
A0A0F5JPH2,citrulline,Mono,0,0.0017,0.0023
A0A0F5JPH2,citrulline,Tri,0,0.0014,0.0023
A0A0F5JPH2,cystine,Di,0,0.0053,0.0101
A0A0F5JPH2,cystine,Mono,0,0.0015,0.0023
A0A0F5JPH2,cystine,Tri,0,0.0056,0.0101
A0A0F5JPH2,dopamine,Di,1,0.3746,0.2815
A0A0F5JPH2,dopamine,Mono,0,0.0794,0.0529
A0A0F5JPH2,dopamine,Tri,1,0.8003,0.7
A0A0F5JPH2,gaba,Di,1,0.8658,0.7
A0A0F5JPH2,gaba,Mono,1,0.8358,0.7
A0A0F5JPH2,gaba,Tri,1,0.8748,0.7
A0A0F5JPH2,glutamine,Di,0,0.0186,0.0202
A0A0F5JPH2,glutamine,Mono,0,0.1115,0.0915
A0A0F5JPH2,glutamine,Tri,0,0.012,0.0114
A0A0F5JPH2,glyglycine,Di,0,0.0021,0.0023
A0A0F5JPH2,glyglycine,Mono,0,0.0014,0.0023
A0A0F5JPH2,glyglycine,Tri,0,0.0115,0.0114
A0A0F5JPH2,histidine,Di,0,0.0005,0.0
A0A0F5JPH2,histidine,Mono,0,0.0004,0.0
A0A0F5JPH2,histidine,Tri,0,0.0021,0.0023
A0A0F5JPH2,lysine,Di,0,0.0613,0.0529
A0A0F5JPH2,lysine,Mono,0,0.0063,0.0101
A0A0F5JPH2,lysine,Tri,0,0.0037,0.0101
A0A0F5JPH2,methionine,Di,0,0.0135,0.0137
A0A0F5JPH2,methionine,Mono,0,0.0162,0.0202
A0A0F5JPH2,methionine,Tri,0,0.0159,0.0202
A0A0F5JPH2,ornithine,Di,1,0.154,0.1127
A0A0F5JPH2,ornithine,Mono,1,0.0544,0.0529
A0A0F5JPH2,ornithine,Tri,0,0.0227,0.0345
A0A0F5JPH2,phenylalanine,Di,1,0.6948,0.5287
A0A0F5JPH2,phenylalanine,Mono,0,0.0804,0.0529
A0A0F5JPH2,phenylalanine,Tri,1,0.7417,0.5287
A0A0F5JPH2,proline,Di,0,0.0025,0.0101
A0A0F5JPH2,proline,Mono,0,0.0036,0.0101
A0A0F5JPH2,proline,Tri,0,0.0216,0.0301
A0A0F5JPH2,putrescine,Di,0,0.0031,0.0101
A0A0F5JPH2,putrescine,Mono,0,0.001,0.0023
A0A0F5JPH2,putrescine,Tri,0,0.0032,0.0101
A0A0F5JPH2,serine,Di,0,0.0684,0.0529
A0A0F5JPH2,serine,Mono,1,0.0593,0.0529
A0A0F5JPH2,serine,Tri,0,0.0287,0.0391
A0A0F5JPH2,serotonin,Di,0,0.0148,0.0202
A0A0F5JPH2,serotonin,Mono,1,0.2139,0.1127
A0A0F5JPH2,serotonin,Tri,0,0.0103,0.0101
A0A0F5JPH2,threonine,Di,0,0.0093,0.0101
A0A0F5JPH2,threonine,Mono,0,0.0148,0.0202
A0A0F5JPH2,threonine,Tri,0,0.001,0.0023
A0A0F5JPH2,tryptamine,Di,0,0.0038,0.0101
A0A0F5JPH2,tryptamine,Mono,0,0.0015,0.0023
A0A0F5JPH2,tryptamine,Tri,0,0.0077,0.0101
A0A0F5JPH2,tyramine,Di,0,0.0269,0.0391
A0A0F5JPH2,tyramine,Mono,0,0.1489,0.1127
A0A0F5JPH2,tyramine,Tri,0,0.0175,0.0202
A0A0G8G768,"2,3_diaminopropionic acid",Di,0,0.2411,0.1757
A0A0G8G768,"2,3_diaminopropionic acid",Mono,0,0.0676,0.0529
